"","cowcode","year","cyear","cntyr","scode","country","un_region","un_continent","reg_id","demo_nr","demo_r","regime_r","regime_nr","duration_nr","duration_r","personal","personal2","lindex","exname","change","tdate","trans","occup","interreg","gwf_casename","gwf_startdate","gwf_enddate","gwf_spell","gwf_duration","gwf_fail","gwf_fail_subsregime","gwf_fail_type","gwf_fail_violent","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch"
"14",101,1954,1011954,"Venezuela 1954","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",7,6,1,1,0.346938776,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,6,0,0,0,0,"military-personal",0,0,1,0
"15",101,1955,1011955,"Venezuela 1955","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",8,7,1,1,0.375,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,7,0,0,0,0,"military-personal",0,0,1,0
"16",101,1956,1011956,"Venezuela 1956","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",9,8,1,1,0.407407407,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,8,0,0,0,0,"military-personal",0,0,1,0
"17",101,1957,1011957,"Venezuela 1957","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",10,9,1,1,0.44,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,9,0,0,0,0,"military-personal",0,0,1,0
"18",101,1958,1011958,"Venezuela 1958","VEN","Venezuela","South America","Americas",10102,1,0,"Military","Democracy",1,10,NA,NA,NA,"military",1,"12.07.1958",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,10,1,1,4,3,"military-personal",0,0,1,0
"19",101,2006,1012006,"Venezuela 2006","VEN","Venezuela","South America","Americas",10103,0,0,"Multiparty","Multiparty",5,5,1,1,1,"Hugo Chavez",0,"",0,0,0,"Venezuela 05-NA","12/04/2005","31/12/2010",5,1,0,0,0,0,"personal",0,1,0,0
"20",101,2007,1012007,"Venezuela 2007","VEN","Venezuela","South America","Americas",10103,0,0,"Multiparty","Multiparty",6,6,1,1,1,"Hugo Chavez",0,"",0,0,0,"Venezuela 05-NA","12/04/2005","31/12/2010",5,2,0,0,0,0,"personal",0,1,0,0
"21",101,2008,1012008,"Venezuela 2008","VEN","Venezuela","South America","Americas",10103,0,0,"Multiparty","Multiparty",7,7,1,1,1,"Hugo Chavez",0,"",0,0,0,"Venezuela 05-NA","12/04/2005","31/12/2010",5,3,0,0,0,0,"personal",0,1,0,0
"22",101,2009,1012009,"Venezuela 2009","VEN","Venezuela","South America","Americas",10103,0,0,"Multiparty","Multiparty",8,8,1,1,1,"Hugo Chavez",0,"",0,0,0,"Venezuela 05-NA","12/04/2005","31/12/2010",5,4,0,0,0,0,"personal",0,1,0,0
"23",101,2010,1012010,"Venezuela 2010","VEN","Venezuela","South America","Americas",10103,0,0,"Multiparty","Multiparty",9,9,1,1,1,"Hugo Chavez",0,"",0,0,0,"Venezuela 05-NA","12/04/2005","31/12/2010",5,5,0,0,0,0,"personal",0,1,0,0
"24",130,1964,1301964,"Ecuador 1964","ECU","Ecuador","South America","Americas",13003,0,0,"Military","Military",2,1,1,1,1,"Ramon Castro Jijon",0,"",0,0,0,"Ecuador 63-66","07/11/1963","29/03/1966",3,1,0,0,0,0,"military",0,0,1,0
"25",130,1965,1301965,"Ecuador 1965","ECU","Ecuador","South America","Americas",13003,0,0,"Military","Military",3,2,1,1,1,"Ramon Castro Jijon",0,"",0,0,0,"Ecuador 63-66","07/11/1963","29/03/1966",3,2,0,0,0,0,"military",0,0,1,0
"26",130,1966,1301966,"Ecuador 1966","ECU","Ecuador","South America","Americas",13004,0,0,"Military","Multiparty",1,3,1,1,1,"Otto Arosemena Gomez",1,"11.00.1966",0,0,0,"Ecuador 63-66","07/11/1963","29/03/1966",3,3,1,1,4,2,"military",0,0,1,0
"27",130,1971,1301971,"Ecuador 1971","ECU","Ecuador","South America","Americas",13004,0,0,"Multiparty","Multiparty",6,1,2,2,0.555555556,"Jose Velasco Ibarra",0,"",0,0,0,"Ecuador 70-72","22/06/1970","15/02/1972",2,1,0,0,0,0,"personal",0,1,0,0
"28",130,1972,1301972,"Ecuador 1972","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",1,2,2,2,1,"Guillermo Rodriguez Lara",1,"02.00.1972",0,0,0,"Ecuador 70-72","22/06/1970","15/02/1972",2,2,1,2,5,1,"personal",0,1,0,0
"29",130,1973,1301973,"Ecuador 1973","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",2,3,2,2,1,"Guillermo Rodriguez Lara",0,"",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,1,0,0,0,0,"military",0,0,1,0
"30",130,1974,1301974,"Ecuador 1974","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",3,4,2,2,1,"Guillermo Rodriguez Lara",0,"",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,2,0,0,0,0,"military",0,0,1,0
"31",130,1975,1301975,"Ecuador 1975","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",4,5,2,2,1,"Guillermo Rodriguez Lara",0,"",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,3,0,0,0,0,"military",0,0,1,0
"32",130,1976,1301976,"Ecuador 1976","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",5,6,2,2,0.68,"Alfredo Poveda Burbano",0,"",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,4,0,0,0,0,"military",0,0,1,0
"33",130,1977,1301977,"Ecuador 1977","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",6,7,2,2,0.555555556,"Alfredo Poveda Burbano",0,"",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,5,0,0,0,0,"military",0,0,1,0
"34",130,1978,1301978,"Ecuador 1978","ECU","Ecuador","South America","Americas",13005,0,0,"Military","Military",7,8,2,2,0.510204082,"Alfredo Poveda Burbano",0,"",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,6,0,0,0,0,"military",0,0,1,0
"35",130,1979,1301979,"Ecuador 1979","ECU","Ecuador","South America","Americas",13006,1,0,"Military","Democracy",1,9,NA,NA,NA,"Jaime Roldos Aguillera",1,"08.10.1979",0,0,0,"Ecuador 72-79","15/02/1972","29/04/1979",7,7,1,1,3,1,"military",0,0,1,0
"36",135,1950,1351950,"Peru 1950","PER","Peru","South America","Americas",13501,0,0,"Military","Military",3,2,1,1,1,"Manuel Odria",0,"10.27.1948",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,2,0,0,0,0,"military-personal",0,0,1,0
"37",135,1951,1351951,"Peru 1951","PER","Peru","South America","Americas",13501,0,0,"Military","Military",4,3,1,1,1,"Manuel Odria",0,"",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,3,0,0,0,0,"military-personal",0,0,1,0
"38",135,1952,1351952,"Peru 1952","PER","Peru","South America","Americas",13501,0,0,"Military","Military",5,4,1,1,1,"Manuel Odria",0,"",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,4,0,0,0,0,"military-personal",0,0,1,0
"39",135,1953,1351953,"Peru 1953","PER","Peru","South America","Americas",13501,0,0,"Military","Military",6,5,1,1,1,"Manuel Odria",0,"",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,5,0,0,0,0,"military-personal",0,0,1,0
"40",135,1954,1351954,"Peru 1954","PER","Peru","South America","Americas",13501,0,0,"Military","Military",7,6,1,1,1,"Manuel Odria",0,"",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,6,0,0,0,0,"military-personal",0,0,1,0
"41",135,1955,1351955,"Peru 1955","PER","Peru","South America","Americas",13501,0,0,"Military","Military",8,7,1,1,1,"Manuel Odria",0,"",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,7,0,0,0,0,"military-personal",0,0,1,0
"42",135,1956,1351956,"Peru 1956","PER","Peru","South America","Americas",13502,1,0,"Military","Democracy",1,8,NA,NA,NA,"Manuel Prado y Ugarteche",1,"07.00.1956",0,0,0,"Peru 48-56","27/10/1948","17/06/1956",8,8,1,1,2,1,"military-personal",0,0,1,0
"43",135,1963,1351963,"Peru 1963","PER","Peru","South America","Americas",13504,1,0,"Military","Democracy",1,1,NA,NA,NA,"Fernando Belaunde Terry",1,"07.00.1963",0,0,0,"Peru 62-63","18/07/1962","06/09/1963",1,1,1,1,3,1,"military",0,0,1,0
"44",135,1969,1351969,"Peru 1969","PER","Peru","South America","Americas",13505,0,0,"Military","Military",2,1,2,2,1,"Juan Velasco Alvaredo",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,1,0,0,0,0,"military",0,0,1,0
"45",135,1970,1351970,"Peru 1970","PER","Peru","South America","Americas",13505,0,0,"Military","Military",3,2,2,2,1,"Juan Velasco Alvaredo",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,2,0,0,0,0,"military",0,0,1,0
"46",135,1971,1351971,"Peru 1971","PER","Peru","South America","Americas",13505,0,0,"Military","Military",4,3,2,2,1,"Juan Velasco Alvaredo",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,3,0,0,0,0,"military",0,0,1,0
"47",135,1972,1351972,"Peru 1972","PER","Peru","South America","Americas",13505,0,0,"Military","Military",5,4,2,2,1,"Juan Velasco Alvaredo",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,4,0,0,0,0,"military",0,0,1,0
"48",135,1973,1351973,"Peru 1973","PER","Peru","South America","Americas",13505,0,0,"Military","Military",6,5,2,2,1,"Juan Velasco Alvaredo",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,5,0,0,0,0,"military",0,0,1,0
"49",135,1974,1351974,"Peru 1974","PER","Peru","South America","Americas",13505,0,0,"Military","Military",7,6,2,2,1,"Juan Velasco Alvaredo",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,6,0,0,0,0,"military",0,0,1,0
"50",135,1975,1351975,"Peru 1975","PER","Peru","South America","Americas",13505,0,0,"Military","Military",8,7,2,2,0.78125,"Francisco Morales Bermudez",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,7,0,0,0,0,"military",0,0,1,0
"51",135,1976,1351976,"Peru 1976","PER","Peru","South America","Americas",13505,0,0,"Military","Military",9,8,2,2,0.654320988,"Francisco Morales Bermudez",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,8,0,0,0,0,"military",0,0,1,0
"52",135,1977,1351977,"Peru 1977","PER","Peru","South America","Americas",13505,0,0,"Military","Military",10,9,2,2,0.58,"Francisco Morales Bermudez",0,"",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,9,0,0,0,0,"military",0,0,1,0
"53",135,1978,1351978,"Peru 1978","PER","Peru","South America","Americas",13505,0,0,"Military","Military",11,10,NA,2,0.537190083,"Francisco Morales Bermudez",0,"",1,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,10,0,0,0,0,"military",0,0,1,0
"54",135,1979,1351979,"Peru 1979","PER","Peru","South America","Americas",13505,0,0,"Military","Military",12,11,NA,2,0.513888889,"Francisco Morales Bermudez",0,"",1,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,11,0,0,0,0,"military",0,0,1,0
"55",135,1980,1351980,"Peru 1980","PER","Peru","South America","Americas",13506,1,1,"Democracy","Democracy",1,1,NA,NA,NA,"Fernando Belaunde Terry",1,"05.00.1980",0,0,0,"Peru 68-80","10/03/1968","18/05/1980",12,12,1,1,3,1,"military",0,0,1,0
"56",135,1993,1351993,"Peru 1993","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",2,2,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,1,0,0,0,0,"personal",0,1,0,0
"57",135,1994,1351994,"Peru 1994","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",3,3,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,2,0,0,0,0,"personal",0,1,0,0
"58",135,1995,1351995,"Peru 1995","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",4,4,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,3,0,0,0,0,"personal",0,1,0,0
"59",135,1996,1351996,"Peru 1996","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",5,5,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,4,0,0,0,0,"personal",0,1,0,0
"60",135,1997,1351997,"Peru 1997","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",6,6,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,5,0,0,0,0,"personal",0,1,0,0
"61",135,1998,1351998,"Peru 1998","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",7,7,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,6,0,0,0,0,"personal",0,1,0,0
"62",135,1999,1351999,"Peru 1999","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",8,8,1,1,1,"Alberto Fujimori",0,"",0,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,7,0,0,0,0,"personal",0,1,0,0
"63",135,2000,1352000,"Peru 2000","PER","Peru","South America","Americas",13507,0,0,"Multiparty","Multiparty",9,9,NA,1,0.802469136,"Valentin Paniagua Corazao",0,"",1,0,0,"Peru 92-00","04/05/1992","21/11/2000",8,8,1,1,1,1,"personal",0,1,0,0
"64",140,1965,1401965,"Brazil 1965","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",2,2,2,2,1,"Humberto de Alencar Castello Branco",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,1,0,0,0,0,"military",0,0,1,0
"65",140,1966,1401966,"Brazil 1966","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",3,3,2,2,1,"Humberto de Alencar Castello Branco",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,2,0,0,0,0,"military",0,0,1,0
"66",140,1967,1401967,"Brazil 1967","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",4,4,2,2,0.625,"Artur da Costa e Silva",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,3,0,0,0,0,"military",0,0,1,0
"67",140,1968,1401968,"Brazil 1968","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",5,5,2,2,0.52,"Artur da Costa e Silva",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,4,0,0,0,0,"military",0,0,1,0
"68",140,1969,1401969,"Brazil 1969","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",6,6,2,2,0.388888889,"Emilio Medici",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,5,0,0,0,0,"military",0,0,1,0
"69",140,1970,1401970,"Brazil 1970","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",7,7,2,2,0.346938776,"Emilio Medici",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,6,0,0,0,0,"military",0,0,1,0
"70",140,1971,1401971,"Brazil 1971","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",8,8,2,2,0.34375,"Emilio Medici",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,7,0,0,0,0,"military",0,0,1,0
"71",140,1972,1401972,"Brazil 1972","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",9,9,2,2,0.358024691,"Emilio Medici",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,8,0,0,0,0,"military",0,0,1,0
"72",140,1973,1401973,"Brazil 1973","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",10,10,2,2,0.38,"Emilio Medici",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,9,0,0,0,0,"military",0,0,1,0
"73",140,1974,1401974,"Brazil 1974","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",11,11,2,2,0.32231405,"Ernesto Geisel",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,10,0,0,0,0,"military",0,0,1,0
"74",140,1975,1401975,"Brazil 1975","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",12,12,2,2,0.291666667,"Ernesto Geisel",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,11,0,0,0,0,"military",0,0,1,0
"75",140,1976,1401976,"Brazil 1976","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",13,13,2,2,0.278106509,"Ernesto Geisel",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,12,0,0,0,0,"military",0,0,1,0
"76",140,1977,1401977,"Brazil 1977","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",14,14,2,2,0.275510204,"Ernesto Geisel",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,13,0,0,0,0,"military",0,0,1,0
"77",140,1978,1401978,"Brazil 1978","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",15,15,2,2,0.28,"Ernesto Geisel",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,14,0,0,0,0,"military",0,0,1,0
"78",140,1979,1401979,"Brazil 1979","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",16,16,2,2,0.25,"Joao Figueiredo",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,15,0,0,0,0,"military",0,0,1,0
"79",140,1980,1401980,"Brazil 1980","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",17,17,2,2,0.23183391,"Joao Figueiredo",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,16,0,0,0,0,"military",0,0,1,0
"80",140,1981,1401981,"Brazil 1981","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",18,18,2,2,0.222222222,"Joao Figueiredo",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,17,0,0,0,0,"military",0,0,1,0
"81",140,1982,1401982,"Brazil 1982","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",19,19,1,1,0.218836565,"Joao Figueiredo",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,18,0,0,0,0,"military",0,0,1,0
"82",140,1983,1401983,"Brazil 1983","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",20,20,1,1,0.22,"Joao Figueiredo",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,19,0,0,0,0,"military",0,0,1,0
"83",140,1984,1401984,"Brazil 1984","BRA","Brazil","South America","Americas",14002,0,0,"Military","Military",21,21,1,1,0.224489796,"Joao Figueiredo",0,"",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,20,0,0,0,0,"military",0,0,1,0
"84",140,1985,1401985,"Brazil 1985","BRA","Brazil","South America","Americas",14003,1,1,"Democracy","Democracy",1,1,NA,NA,NA,"Jose Sarney",1,"03.15.1985",0,0,0,"Brazil 64-85","04/01/1964","15/01/1985",21,21,1,1,2,2,"military",0,0,1,0
"85",145,1950,1451950,"Bolivia 1950","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",5,4,2,2,0.36,"Mamerto Urriolagoitia",0,"07.21.1946",0,0,0,"Bolivia 46-51","21/07/1946","16/05/1951",5,4,0,0,0,0,"oligarchy",1,0,0,0
"86",145,1951,1451951,"Bolivia 1951","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",6,5,2,2,0.277777778,"Hugo Ballivion Rojas",0,"",0,0,0,"Bolivia 46-51","21/07/1946","16/05/1951",5,5,1,2,5,1,"oligarchy",1,0,0,0
"87",145,1952,1451952,"Bolivia 1952","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",7,6,NA,1,0.224489796,"Victor Paz Estenssoro",0,"",1,0,0,"Bolivia 51-52","16/05/1951","04/09/1952",1,1,1,2,6,3,"military",0,0,1,0
"88",145,1953,1451953,"Bolivia 1953","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",8,7,NA,1,0.21875,"Victor Paz Estenssoro",0,"",1,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,1,0,0,0,0,"party-based",1,0,0,0
"89",145,1954,1451954,"Bolivia 1954","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",9,8,NA,1,0.234567901,"Victor Paz Estenssoro",0,"",1,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,2,0,0,0,0,"party-based",1,0,0,0
"90",145,1955,1451955,"Bolivia 1955","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",10,9,NA,1,0.26,"Victor Paz Estenssoro",0,"",1,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,3,0,0,0,0,"party-based",1,0,0,0
"91",145,1956,1451956,"Bolivia 1956","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",11,10,1,1,0.223140496,"Hernan Siles Zuazo",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,4,0,0,0,0,"party-based",1,0,0,0
"92",145,1957,1451957,"Bolivia 1957","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",12,11,1,1,0.208333333,"Hernan Siles Zuazo",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,5,0,0,0,0,"party-based",1,0,0,0
"93",145,1958,1451958,"Bolivia 1958","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",13,12,1,1,0.207100592,"Hernan Siles Zuazo",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,6,0,0,0,0,"party-based",1,0,0,0
"94",145,1959,1451959,"Bolivia 1959","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",14,13,1,1,0.214285714,"Hernan Siles Zuazo",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,7,0,0,0,0,"party-based",1,0,0,0
"95",145,1960,1451960,"Bolivia 1960","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",15,14,1,1,0.226666667,"Victor Paz Estenssoro",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,8,0,0,0,0,"party-based",1,0,0,0
"96",145,1961,1451961,"Bolivia 1961","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",16,15,1,1,0.2421875,"Victor Paz Estenssoro",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,9,0,0,0,0,"party-based",1,0,0,0
"97",145,1962,1451962,"Bolivia 1962","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",17,16,1,1,0.259515571,"Victor Paz Estenssoro",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,10,0,0,0,0,"party-based",1,0,0,0
"98",145,1963,1451963,"Bolivia 1963","BOL","Bolivia","South America","Americas",14501,0,0,"Multiparty","Multiparty",18,17,1,1,0.277777778,"Victor Paz Estenssoro",0,"",0,0,0,"Bolivia 52-64","04/09/1952","11/04/1964",12,11,0,0,0,0,"party-based",1,0,0,0
